Piece Title,Publisher/Library,Exclusive / Non Exclusive,Publishers Split,Writers Split,Master Owner,Genre,Description,Bpm,Key,Time Signature,Mode,Duration,Instruments,Keywords,Mood,Production Style,Sounds like,Overall Quality,Has TV Usage,Has Stock Music Sales,Usage: Syncs and Dates,Soundcloud Link,Data Complete,Notes
Storm Pass,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Ambient,A desolate and driving synth ambience reminiscent of driving through a desert in a thunderstorm,120,Ebm,4/4,Aeolian,5:00,"Synth, Synth Bass, Sound Effects","Driving, Rain, Thunderstorm, Desolate, Lonely, Impulse, Speeding, Lightning, Nature, Desert, Quiet, Quietude, Meditation, Meditate, New Age, Healing,","Dark, Driving, Energetic, Gloomy, Meditative, Resolute","Documentary, Horror, Action, Drama, Crime",?,4,,,-,,checked,
Ambient Fluidity,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Ambient,"Relaxed, fluid and ambient track",99,Eb,4/4,Ionian,3:04,"Piano, Synth","liquid, water, meditation, swelling, fluid, ","meditative, relaxing, chill, ","Commercial, Videogame","Enya, Chris Spheeris",4,,,-,,checked,
Dreamscape,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Ambient,Meditative and relaxing ambient track,111,Db,4/4,Ionian,3:16,"Synthesizer, Percussion, Kalimba","Meditative, Meditation, documentary, drama, spiritual, nature, crystals, chakras, spirit, om, space, fine art, museum, exhibit, calm, relaxing, chill, slow, ambient, ambiant, ambiance, ambience","content, calm, chill, dreamy, laid-back, lethargic, pleasant, relaxed",Documentary,,4,,,-,,checked,
Coral Empire,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Ambient,Algorithmically generated ambient soundtrack music,120,C,4/4,Ionian,6:26,"Synth Pad, Synth, Synth Bass","Ambient, documentary, nature, meditation, meditative, relaxing, chill, ","Relaxed, Happy, Uplifting","Documentary, Romance, Drama",,4,,,-,,checked,
Bioluminescent Currents,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Ambient,Algorithmically generated ambient soundtrack music,120,C,4/4,Ionian,3:26,"Synth Pad, Synth, Synth Bass","Ambient, documentary, nature, meditation, meditative, relaxing, chill, ","Relaxed, Happy, Uplifting","Documentary, Romance, Drama",,4,,,-,,checked,
Black Sand,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Ambient,Algorithmically generated ambient soundtrack music,120,C,4/4,Ionian,3:56,"Synth Pad, Synth, Synth Bass","Ambient, documentary, nature, meditation, meditative, relaxing, chill, ","Relaxed, Happy, Uplifting","Documentary, Romance, Drama",,4,,,-,,checked,
Good Morning Bill,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,"Ambient, Score","A relaxed, bright, and meditative piece evocative of a misty sunrise",57,F,4/4,Lydian,1:41,"Celeste, Flute, Ethnic Flute, Synth ","Bright, Ethereal, Meditative, Meditation, Relaxing, Waking Up, Morning, Sunrise","Relaxed, Uplifting, Chill","Documentary, Romance, Drama",,4,,,-,,checked,
Peaceful Curiosity,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Ambient, Videogame",Sweet ambient piece featuring angelic marimba and flute,124,Eb,4/4,Ionian,1:42,"Marimba, percussion, synthesizer, flute","water level, underwater, water, waterfall, submarine, meditation, ambient, ambiant, ambience, ambiance peace, peaceful, swimming, fish, sunset, evening, dusk, sweet, relaxing, chill, content, happy, nail salon, spa, massage, theme park, amusement park, game, video game, videogame, gamer, gaming, playstation, nintendo, xbox","calm, cheerful, chill, content, dreamy, happy, hopeful, laidback, magical, peaceful, pleasant, relaxing, uplifting","animation, broadcast/news, romance, video game",Video game water level,2,,checked,-,,checked,
"Beginning of Something Beautiful, The","Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Ambient, Videogame","Nostalgic, piano driven orchestral video game type piece",91,Bbm,3/4,Aeolian,1:42,"Orchestra, Strings, Harp, Flute, Celeste, Piano","Wholesome, sweet, reminiscent, memories, memory, nostalgic, childhood, child, video game, toys, toy store, sweet, kind, nostalgia, game, cheerful, warmth, acoustic","nostalgic, content, chill, cheerful, happy, hopeful, peaceful, pleasant, uplifting, relaxed, sweet, whimsical","animation, children, video game, romance",?,3,,,-,,checked,From Weavers project with Jewel Lim
6/8 Chiptune Dungeon,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%",Nikolas Korolog 100%,Nikolas Korolog,Chiptune,Simple 6/8 chiptune dungeon crawler groove,95,Bm,6/8,Aeolian,1:21,Synth,"6/8, chiptune, 8bit, retro, old school, nintendo, playstation, video game, game, games, gamer, gameboy, dungeon, rpg, rts, real time strategy, strategy, youtube, instagram, tik tok, tiktok, calm, dark, fun, haunting, ominous, foreboding, suspense, tension, synthesiser, drum machine, hypnotic, high tech ","Dark, Moody, Evil",Videogame,,1,,,-,,checked,
Diskettamine,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Chiptune, Videogame","High energy, high speed retro chiptune style piece ",170,Db,4/4,Aeolian,3:12,"Elec. Drums, Synth, Synth bass","Video game, tron, chiptune, hard, fast, hyper, speedy, battle, boss","Intense, videogamey,",Video game,?,3,,,-,,checked,From video game project System Protocol One
