Piece Title,Publisher/Library,Exclusive / Non Exclusive,Publishers Split,Writers Split,Master Owner,Genre,Description,Bpm,Key,Time Signature,Mode,Duration,Instruments,Keywords,Mood,Production Style,Sounds like,Overall Quality,Has TV Usage,Has Stock Music Sales,Usage: Syncs and Dates,Soundcloud Link,Data Complete,Notes,,,
Storm Pass,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Ambient,A desolate and driving synth ambience reminiscent of driving through a desert in a thunderstorm,120,Ebm,4/4,Aeolian,5:00,"Synth, Synth Bass, Sound Effects","Driving, Rain, Thunderstorm, Desolate, Lonely, Impulse, Speeding, Lightning, Nature, Desert, Quiet, Quietude, Meditation, Meditate, New Age, Healing,","Dark, Driving, Energetic, Gloomy, Meditative, Resolute","Documentary, Horror, Action, Drama, Crime",?,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165532830%3Fsecret_token%3Ds-4II2lACCJYi&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/storm-pass/s-4II2lACCJYi"" title=""Storm Pass"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Storm Pass</a></div>",checked,,,,
Ambient Fluidity,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Ambient,"Relaxed, fluid and ambient track",99,Eb,4/4,Ionian,3:04,"Piano, Synth","liquid, water, meditation, swelling, fluid, ","meditative, relaxing, chill, ","Commercial, Videogame","Enya, Chris Spheeris",4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165524925%3Fsecret_token%3Ds-09BtVvbtCde&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/ambient-fluidity-master-1/s-09BtVvbtCde"" title=""Ambient Fluidity (MASTER)"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Ambient Fluidity (MASTER)</a></div>",checked,,,,
Dreamscape,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Ambient,Meditative and relaxing ambient track,111,Db,,Ionian,3:16,"Synthesizer, Percussion, Kalimba","Meditative, Meditation, documentary, drama, spiritual, nature, crystals, chakras, spirit, om, space, fine art, museum, exhibit, calm, relaxing, chill, slow, ambient, ambiant, ambiance, ambience","content, calm, chill, dreamy, laid-back, lethargic, pleasant, relaxed",Documentary,Meditation,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165525516%3Fsecret_token%3Ds-AjefrPSAvEy&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/dreamscape-1/s-AjefrPSAvEy"" title=""Dreamscape"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Dreamscape</a></div>",checked,,,,
Coral Empire,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Ambient,Algorithmically generated ambient soundtrack music,120,C,4/4,Ionian,6:26,"Synth Pad, Synth, Synth Bass","Ambient, documentary, nature, meditation, meditative, relaxing, chill, ","Relaxed, Happy, Uplifting","Documentary, Romance, Drama",Meditation,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165538272%3Fsecret_token%3Ds-8aEjG49VvWB&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/coral-empire-1/s-8aEjG49VvWB"" title=""Coral Empire"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Coral Empire</a></div>",checked,,,,
Bioluminescent Currents,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Ambient,Algorithmically generated ambient soundtrack music,120,C,4/4,Ionian,3:26,"Synth Pad, Synth, Synth Bass","Ambient, documentary, nature, meditation, meditative, relaxing, chill, ","Relaxed, Happy, Uplifting","Documentary, Romance, Drama",Meditation,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165534351%3Fsecret_token%3Ds-3jPtoOeRtLu&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/bioluminescent-currents-1/s-3jPtoOeRtLu"" title=""Bioluminescent Currents"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Bioluminescent Currents</a></div>",checked,,,,
Black Sand,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Ambient,Algorithmically generated ambient soundtrack music,120,C,4/4,Ionian,3:56,"Synth Pad, Synth, Synth Bass","Ambient, documentary, nature, meditation, meditative, relaxing, chill, ","Relaxed, Happy, Uplifting","Documentary, Romance, Drama",Meditation,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165534645%3Fsecret_token%3Ds-heG0Brql6n1&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/black-sand-1/s-heG0Brql6n1"" title=""Black Sand"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Black Sand</a></div>",checked,,,,
Good Morning Bill,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Ambient, Score","A relaxed, bright, and meditative piece evocative of a misty sunrise",57,F,4/4,Lydian,1:41,"Celeste, Flute, Ethnic Flute, Synth ","Bright, Ethereal, Meditative, Meditation, Relaxing, Waking Up, Morning, Sunrise","Relaxed, Uplifting, Chill","Documentary, Romance, Drama",Meditation,4,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165535149%3Fsecret_token%3Ds-vOvsrNZzLCH&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/good-morning-bill/s-vOvsrNZzLCH"" title=""Good Morning Bill"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Good Morning Bill</a></div>",checked,,,,
Peaceful Curiosity,"Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Ambient, Videogame",Sweet ambient piece featuring angelic marimba and flute,124,Eb,4/4,Ionian,1:42,"Marimba, percussion, synthesizer, flute","water level, underwater, water, waterfall, submarine, meditation, ambient, ambiant, ambience, ambiance peace, peaceful, swimming, fish, sunset, evening, dusk, sweet, relaxing, chill, content, happy, nail salon, spa, massage, theme park, amusement park, game, video game, videogame, gamer, gaming, playstation, nintendo, xbox","calm, cheerful, chill, content, dreamy, happy, hopeful, laidback, magical, peaceful, pleasant, relaxing, uplifting","animation, broadcast/news, romance, video game",Video game water level,2,,checked,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165538620%3Fsecret_token%3Ds-QxomfMtvxfV&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/peaceful-curiosity/s-QxomfMtvxfV"" title=""Peaceful Curiosity"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Peaceful Curiosity</a></div>",checked,,,,
"""Beginning of Something Beautiful, The""","Atrium, Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,"Ambient, Videogame","Nostalgic, piano driven orchestral video game type piece",91,Bbm,3/4,Aeolian,1:42,"Orchestra, Strings, Harp, Flute, Celeste, Piano","Wholesome, sweet, reminiscent, memories, memory, nostalgic, childhood, child, video game, toys, toy store, sweet, kind, nostalgia, game, cheerful, warmth, acoustic","nostalgic, content, chill, cheerful, happy, hopeful, peaceful, pleasant, uplifting, relaxed, sweet, whimsical","animation, children, video game, romance",?,3,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165538827%3Fsecret_token%3Ds-Zoh2KeWCozr&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/the-beginning-of-something-beautiful-1/s-Zoh2KeWCozr"" title=""The Beginning Of Something Beautiful"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">The Beginning Of Something Beautiful</a></div>",checked,From Weavers project with Jewel Lim,,,
6/8 Chiptune Dungeon,"Pond5, Musicgrid",Non-Exclusive - Contact Niko for licensing,"Eek Anderson Media, ASCAP 100%","Nikolas Korolog, ASCAP 100%",Nikolas Korolog,Chiptune,Simple 6/8 chiptune dungeon crawler groove,95,Bm,6/8,Aeolian,1:21,Synth,"6/8, chiptune, 8bit, retro, old school, nintendo, playstation, video game, game, games, gamer, gameboy, dungeon, rpg, rts, real time strategy, strategy, youtube, instagram, tik tok, tiktok, calm, dark, fun, haunting, ominous, foreboding, suspense, tension, synthesiser, drum machine, hypnotic, high tech","Dark, Moody, Evil",Videogame,?,1,,,-,"<iframe width=""100%"" height=""20"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/1165537261%3Fsecret_token%3Ds-Nk97BJwrUd7&color=%23ff5500&inverse=false&auto_play=false&show_user=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/nikokofficial"" title=""Niko K"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Niko K</a> · <a href=""https://soundcloud.com/nikokofficial/6-8-chiptune-dungeon/s-Nk97BJwrUd7"" title=""6 8 Chiptune Dungeon"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">6 8 Chiptune Dungeon</a></div>",checked,,,,
